ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,,1500,3000,3000,2500,5000,Total Price
3980,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,38000,,,,,,,id:3963,,,,,,42,"Add'l Guest (2,500 THB each)",No additional guests,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,"With Massuese (5\,000 THB)",,1,Add Photographer?,"With Photographer (10\,000 THB)",,1,,0,3000,0,5000,10000,38000
3981,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,26000,,,,,,,id:3963,,,,,,43,"Add'l Guest (2,500 THB each)",No additional guests,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,Without Massuese (0 THB),,1,Add Photographer?,Without Photographer (0 THB),,1,,0,3000,3000,0,0,26000
3982,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,36000,,,,,,,id:3963,,,,,,44,"Add'l Guest (2,500 THB each)",No additional guests,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,Without Massuese (0 THB),,1,Add Photographer?,"With Photographer (10\,000 THB)",,1,,0,3000,3000,0,10000,36000
3983,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31000,,,,,,,id:3963,,,,,,45,"Add'l Guest (2,500 THB each)",No additional guests,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,"With Massuese (5\,000 THB)",,1,Add Photographer?,Without Photographer (0 THB),,1,,0,3000,3000,5000,0,31000
3984,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,41000,,,,,,,id:3963,,,,,,46,"Add'l Guest (2,500 THB each)",No additional guests,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,"With Massuese (5\,000 THB)",,1,Add Photographer?,"With Photographer (10\,000 THB)",,1,,0,3000,3000,5000,10000,41000
3985,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,21500,,,,,,,id:3963,,,,,,47,"Add'l Guest (2,500 THB each)",1 additional guest,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,Without Massuese (0 THB),,1,Add Photographer?,Without Photographer (0 THB),,1,,1500,0,0,0,0,21500
3986,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31500,,,,,,,id:3963,,,,,,48,"Add'l Guest (2,500 THB each)",1 additional guest,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,Without Massuese (0 THB),,1,Add Photographer?,"With Photographer (10\,000 THB)",,1,,1500,0,0,0,10000,31500
3987,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,26500,,,,,,,id:3963,,,,,,49,"Add'l Guest (2,500 THB each)",1 additional guest,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,"With Massuese (5\,000 THB)",,1,Add Photographer?,Without Photographer (0 THB),,1,,1500,0,0,5000,0,26500
3988,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,36500,,,,,,,id:3963,,,,,,50,"Add'l Guest (2,500 THB each)",1 additional guest,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,"With Massuese (5\,000 THB)",,1,Add Photographer?,"With Photographer (10\,000 THB)",,1,,1500,0,0,5000,10000,36500
3989,"variation, virtual",,Explore Koh Phangan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,24500,,,,,,,id:3963,,,,,,51,"Add'l Guest (2,500 THB each)",1 additional guest,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,Without Massuese (0 THB),,1,Add Photographer?,Without Photographer (0 THB),,1,,1500,0,3000,0,0,24500
